database,subject_id,New_Key,Lake,County,Township,Range,Section,lat,long,URL 4 (front),URL 8 (back),day,month,month.cat,year,doy
Cards,84932109,1-179,BROWNLEE,ALCONA,27N,8E,36,44.68999,-83.40954,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALCONA_BROWNLEE_MORT_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALCONA_BROWNLEE_MORT_0002_2.jpeg,13,6,06.June,1963,164
Cards,84931780,72-78,Houghton,Roscommon,"22, 23N","3, 4W",Many,44.34999,-84.7251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211124406128_MORT_0007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211124406128_MORT_0008.jpg,18,6,06.June,1963,169
Cards,84931642,34-8,Cryderman,Ionia,5N,5W,34,42.77388,-84.88759,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Ionia_Cryderman_MORT_002.jpg,,13,4,04.April,1964,104
Cards,84931763,40-240,Squaw,Kalkaska,28N,5W,21,44.80527,-84.91732,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Kalkaska_Squaw_MORT_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Kalkaska_Squaw_MORT_010.jpg,13,5,05.May,1964,134
Cards,84931965,54-230,Long,Mecosta,16N,8W,17,43.78054,-85.30009,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mecosta_Long_MORT_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mecosta_Long_MORT_006.jpg,26,4,04.April,1965,116
Cards,84931726,28-125,Mud26N,GrandTraverse,"26, 27N",12W,Many,44.64332,-85.75787,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/GrandTraverse_Mud26N_12W_S5-6-31-32_MORT_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/GrandTraverse_Mud26N_12W_S5-6-31-32_MORT_017.jpg,27,4,04.April,1965,117
Cards,84931967,54-281,Haymarshs,Mecosta,16N,9W,"23, 26",43.74789,-85.35357,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mecosta_Haymarshs_MORT_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mecosta_Haymarshs_MORT_051.jpg,29,4,04.April,1965,119
Cards,84931715,26-4,Wiggins,Gladwin,19N,2W,"33, 34",43.9961,-84.54371,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Wiggins_MORT_058.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Wiggins_MORT_059.jpg,16,4,04.April,1965,106
Cards,84932102,2-177,LOST,ALGER,45N,19W,"14, 15",46.2961,-86.65788,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALGER_LOST_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALGER_LOST_MORT_0001_2.jpeg,3,5,05.May,1965,123
Cards,84931953,56-14,Sanford,Midland,"15, 16N","1E, 1W",Many,43.67693,-84.38009,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Midland_Sanford_MORT_094.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Midland_Sanford_MORT_095.jpg,4,6,06.June,1965,155
Cards,84931811,70-111,Lamont,Ottawa,7N,14W,12,43.00575,-85.92513,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Ottawa_Lamont_MORT_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Ottawa_Lamont_MORT_2.jpeg,9,2,02.February,1966,40
Cards,84931797,69-185,Dixon,Otsego,30N,3W,14,44.99471,-84.63454,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Otsego_Dixon_MORT_47.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Otsego_Dixon_MORT_48.jpeg,29,6,06.June,1966,180
Cards,84931784,75-69,Indian,Schoolcraft,"41, 42N","11, 17",Many,45.99165,-86.33343,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Schoolcraft_Indian_75-69_1966_MORT_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Schoolcraft_Indian_75-69_1966_MORT_001_02.jpg,23,6,06.June,1966,174
Cards,84931705,16-192,Mullett,Cheboygan,36N,2W,Shoreline,45.5361,-84.51676,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Cheboygan_Mullett_MORT_157.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Cheboygan_Mullett_MORT_158.jpg,28,6,06.June,1966,179
